scan,orientation,shape_raw,best,score_best,score_second,score_identity,spacing,dice_1,dice_2,dice_3,dice_4,dice_5,dice_6,shift_mm_1,shift_mm_2,shift_mm_3,shift_mm_4,shift_mm_5,shift_mm_6
MTR_104,SIAPLR,512x512x160,----,4.096,2.195,4.096,0.31253;0.31253;0.79941,0.724,0.816,0.888,0.834,0.943,0.874,0.91,0.58,0.32,0.61,0.20,0.72
MTR_105,SIAPLR,512x512x160,----,3.190,2.539,3.190,0.31250;0.31252;0.80005,0.658,0.848,0.883,0.885,0.930,0.869,1.21,0.83,0.33,0.65,0.47,0.62
MTR_107,SIAPLR,512x512x160,----,4.206,2.833,4.206,0.31250;0.31245;0.80000,0.700,0.886,0.976,0.930,0.966,0.933,0.80,0.52,0.23,0.43,0.28,0.55
MTR_109,SIAPLR,512x512x160,----,4.907,2.621,4.907,0.31250;0.31250;0.80000,0.780,0.913,0.989,0.976,0.981,0.966,0.80,0.41,0.25,0.27,0.26,0.27
MTR_110,SIAPLR,512x512x160,----,4.927,2.000,4.927,0.31250;0.31252;0.80071,0.297,0.736,0.887,0.844,0.899,0.819,1.77,1.30,0.46,0.77,0.41,0.90
MTR_112,SIAPRL,512x512x160,----,3.859,2.037,3.859,0.31246;0.31252;0.79988,0.630,0.721,0.615,0.855,0.763,0.899,1.07,0.64,0.90,0.35,1.00,0.35
MTR_113,SIAPLR,512x512x160,----,4.527,2.680,4.527,0.31250;0.31250;0.80000,0.699,0.809,0.837,0.794,0.894,0.856,0.87,0.45,0.34,0.52,0.38,0.67
MTR_115,SIAPLR,512x512x160,----,4.481,2.583,4.481,0.31251;0.31255;0.79997,0.240,0.594,0.800,0.678,0.904,0.792,1.53,0.96,0.44,0.95,0.44,1.03
MTR_116,SIAPLR,512x512x160,----,3.743,2.130,3.743,0.31256;0.31247;0.80001,0.731,0.872,0.904,0.836,0.959,0.850,0.91,0.59,0.29,0.55,0.16,0.78
MTR_118,SIAPLR,512x512x160,----,4.341,2.144,4.341,0.31250;0.31250;0.80000,0.828,0.889,0.951,0.905,0.982,0.904,0.69,0.45,0.17,0.32,0.12,0.36
MTR_120,SIAPLR,512x512x160,----,3.516,2.412,3.516,0.31251;0.31253;0.79991,0.619,0.830,0.949,0.882,0.955,0.888,1.21,0.82,0.38,0.58,0.38,0.56
MTR_122,SIAPLR,512x512x160,----,4.750,2.951,4.750,0.31250;0.31250;0.80000,0.811,0.896,0.963,0.892,0.978,0.881,0.74,0.53,0.24,0.34,0.33,0.36
MTR_124,SIAPLR,512x512x160,----,4.108,2.078,4.108,0.31251;0.31247;0.79992,0.710,0.744,0.760,0.641,0.874,0.650,1.05,0.56,0.44,0.91,0.38,1.04
MTR_126,SIAPLR,512x512x160,----,3.311,1.555,3.311,0.31247;0.31247;0.80000,0.521,0.676,0.824,0.679,0.887,0.779,1.63,1.13,0.49,0.96,0.49,1.14
MTR_127,SIAPRL,512x512x160,----,3.399,2.356,3.399,0.31245;0.31251;0.79999,0.910,0.865,0.755,0.885,0.826,0.887,0.33,0.29,0.60,0.32,0.64,0.31
MTR_129,SIAPLR,512x512x160,----,3.522,2.602,3.522,0.31248;0.31253;0.80014,0.842,0.911,0.989,0.884,0.995,0.894,0.51,0.33,0.07,0.36,0.07,0.42
MTR_130,SIAPLR,512x512x160,----,4.152,1.615,4.152,0.31250;0.31250;0.80000,0.635,0.818,0.836,0.836,0.851,0.872,1.26,0.62,0.46,0.55,0.60,0.60
MTR_133,SIAPLR,512x512x160,----,4.118,2.779,4.118,0.31250;0.31250;0.80000,0.798,0.905,0.989,0.935,0.990,0.916,0.72,0.42,0.14,0.29,0.15,0.33
MTR_135,SIAPRL,512x512x168,----,4.762,2.587,4.762,0.31252;0.31254;0.79993,0.807,0.845,0.751,0.930,0.840,0.945,0.74,0.44,0.50,0.16,0.56,0.19
MTR_139,SIAPLR,512x512x160,----,3.749,1.982,3.749,0.31250;0.31250;0.80000,0.785,0.895,0.858,0.885,0.912,0.911,0.87,0.44,0.34,0.40,0.23,0.49
MTR_140,SIAPLR,512x512x160,----,5.059,2.642,5.059,0.31250;0.31250;0.80000,0.753,0.843,0.888,0.831,0.948,0.909,0.87,0.59,0.26,0.31,0.35,0.33
MTR_142,SIAPLR,512x512x160,----,4.805,2.488,4.805,0.31250;0.31253;0.79949,0.750,0.861,0.937,0.883,0.978,0.883,0.82,0.54,0.15,0.33,0.09,0.32
MTR_144,SIAPRL,512x512x160,----,3.255,2.056,3.255,0.31254;0.31247;0.80001,0.507,0.673,0.517,0.793,0.661,0.836,2.08,1.48,1.56,0.69,1.62,0.71
MTR_145,SIAPLR,512x512x160,----,4.231,2.654,4.231,0.31252;0.31252;0.79995,0.799,0.844,0.832,0.816,0.904,0.869,0.64,0.29,0.31,0.55,0.32,0.47
MTR_146,SIAPLR,512x512x160,----,4.031,2.331,4.031,0.31250;0.31250;0.80000,0.735,0.907,0.979,0.963,0.977,0.975,1.11,0.50,0.40,0.34,0.26,0.38
MTR_148,SIAPLR,512x512x160,----,2.998,1.567,2.998,0.31250;0.31250;0.80000,0.376,0.842,0.908,0.951,0.967,0.955,1.17,0.58,0.44,0.53,0.51,0.25
MTR_149,SIAPLR,512x512x160,----,3.885,2.258,3.885,0.31250;0.31250;0.80000,0.694,0.776,0.813,0.687,0.877,0.782,0.76,0.50,0.32,0.60,0.38,0.60
MTR_150,SIAPLR,512x512x160,----,3.386,1.295,3.386,0.31250;0.31251;0.80003,0.002,0.325,0.812,0.744,0.707,0.577,3.84,2.72,1.92,2.45,1.63,2.47
MTR_151,SIAPLR,512x512x160,----,3.767,2.068,3.767,0.31248;0.31254;0.80019,0.708,0.818,0.882,0.873,0.940,0.886,1.15,1.06,0.31,0.83,0.47,0.68
